ticker,signal_date,entry_date,entry_price,resistance_level,base_low,target_price,stop_price,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,volume_ratio,consolidation_length,base_range_pct,year
UNH,2023-11-30,2023-11-30,552.97,550.89,526.8,574.98,524.17,2023-12-15,524.17,Stop Loss,11,-0.05209,False,0.764,2.921,21,0.045729,2023
VRSK,2023-07-21,2023-07-21,234.11,231.6,220.68,242.52,219.58,2023-08-18,230.94,Time Exit,20,-0.013541,False,0.579,3.102,23,0.049483,2023
VRSN,2023-04-28,2023-04-28,221.8,219.29,210.01,228.57,208.96,2023-05-22,228.57,Profit Target,16,0.030523,True,0.527,1.79,18,0.044188,2023
WELL,2023-02-16,2023-02-16,78.05,76.72,73.41,80.03,73.04,2023-03-01,73.04,Stop Loss,8,-0.064152,False,0.395,1.528,17,0.045089,2023
XEL,2023-12-13,2023-12-13,63.33,62.28,59.58,64.98,59.28,2024-01-12,61.31,Time Exit,20,-0.031896,False,0.408,1.772,15,0.045317,2023
XOM,2023-09-27,2023-09-27,120.2,118.84,113.23,124.45,112.66,2023-10-04,112.66,Stop Loss,5,-0.062697,False,0.564,1.598,16,0.049545,2023
XYL,2023-05-04,2023-05-04,106.33,105.78,100.84,110.72,100.34,2023-05-08,110.72,Profit Target,2,0.041287,True,0.732,1.927,17,0.048989,2023
ABT,2024-02-20,2024-02-20,116.64,115.49,110.58,120.4,110.03,2024-02-29,120.4,Profit Target,7,0.032236,True,0.569,1.677,17,0.044402,2024
ADP,2024-01-31,2024-01-31,245.78,241.59,230.38,252.8,229.23,2024-02-15,252.8,Profit Target,11,0.028562,True,0.424,2.728,24,0.048659,2024
ADP,2024-11-06,2024-11-06,305.18,294.18,281.27,307.09,279.86,2024-11-11,307.09,Profit Target,3,0.006259,True,0.075,1.879,24,0.045899,2024
ADSK,2024-11-06,2024-11-06,302.33,294.13,281.25,307.01,279.84,2024-11-08,307.01,Profit Target,2,0.01548,True,0.208,1.938,17,0.045796,2024
AEE,2024-09-03,2024-09-03,83.28,82.96,79.81,86.11,79.41,2024-09-23,86.11,Profit Target,14,0.033982,True,0.731,1.901,15,0.039469,2024
AIZ,2024-11-06,2024-11-06,206.37,198.8,189.4,208.2,188.45,2024-11-07,208.2,Profit Target,1,0.008868,True,0.102,2.515,19,0.04963,2024
