date,ticker,pnl,equity
2021-10-28,IT,0.053269,1.6186501644192064
2021-10-28,EQT,-0.02,1.5862771611308222
2021-10-29,WSM,0.019039,1.6164782920015919
2021-10-29,URI,0.07,1.7296317724417034
2021-10-29,PWR,0.07,1.8507059965126227
2021-11-01,MCD,0.03388,1.91340791567447
2021-11-02,FANG,-0.02,1.8751397573609807
2021-11-04,PANW,-0.02,1.8376369622137612
2021-11-05,ABNB,0.07,1.9662715495687246
2021-11-05,CRWD,-0.02,1.9269461185773502
2021-11-09,DELL,-0.02,1.888407196205803
2021-11-10,MPC,-0.02,1.850639052281687
2021-11-15,CRWD,-0.02,1.8136262712360531
2021-11-16,MTB,0.042907,1.8914435336559785
2021-11-17,VRSK,0.047646,1.9815632522605513
2021-11-17,FANG,-0.02,1.9419319872153402
2021-11-17,BKR,-0.02,1.9030933474710334
2021-11-19,PANW,0.07,2.036309881794006
2021-11-19,UBER,-0.02,1.9955836841581258
2021-11-22,NFLX,-0.02,1.9556720104749632
2021-11-22,TSLA,0.07,2.0925690512082107
2021-11-24,IBKR,0.07,2.2390488847927856
2021-11-26,AJG,-0.02,2.19426790709693
2021-11-26,RF,-0.02,2.1503825489549913
2021-11-26,DELL,-0.02,2.1073748979758915
2021-11-30,KO,-0.050893,2.0001242672932045
2021-11-30,CNC,-0.02,1.9601217819473404
2021-12-02,DG,-0.02,1.9209193463083936
2021-12-03,AMD,-0.02,1.8825009593822257
2021-12-09,DVN,-0.02,1.8448509401945812
2021-12-10,PG,0.036963,1.9130421654969936
2021-12-13,ED,0.037461,1.9847066380586764
2021-12-13,LYV,-0.02,1.945012505297503
2021-12-13,F,-0.02,1.9061122551915528
2021-12-14,ODFL,-0.02,1.8679900100877218
2021-12-15,ANET,0.07,1.9987493107938625
2021-12-15,ON,-0.02,1.9587743245779852
2021-12-17,CVX,-0.02,1.9195988380864255
2021-12-23,STX,0.07,2.0539707567524754
2021-12-28,AMD,0.07,2.1977487097251487
2021-12-31,TTD,-0.02,2.1537937355306456
2022-01-03,VRSN,0.041304,2.2427540319830035
2022-01-03,F,0.07,2.399746814221814
2022-01-03,REGN,-0.02,2.3517518779373776
2022-01-04,NVDA,-0.02,2.3047168403786302
2022-01-05,DHI,-0.004058,2.2953642994403736
2022-01-05,NUE,0.07,2.4560398004012
2022-01-10,DLTR,-0.02,2.406919004393176
2022-01-12,HAS,0.032158,2.4843207057364514
2022-01-13,KLAC,0.07,2.658223155138003
2022-01-13,GDDY,-0.02,2.605058692035243
2022-01-13,ON,-0.02,2.552957518194538
2022-01-14,TSCO,-0.02,2.5018983678306475
2022-01-18,LITE,-0.02,2.4518604004740343
2022-01-21,INCY,0.02974,2.524778728784132
2022-01-24,BDX,0.022861,2.5824976953028664
2022-01-25,EA,-0.02,2.530847741396809
2022-02-04,CHD,-0.02,2.480230786568873
2022-02-10,PCAR,-0.02,2.4306261708374954
2022-03-29,UHS,-0.02,2.3820136474207456
2022-03-31,FIX,-0.02,2.3343733744723307
2022-04-01,XOM,-0.02,2.287685906982884
2022-04-19,LHX,0.020147,2.333775914950868
2023-05-04,AAPL,-0.02,2.2871003966518506
2023-05-08,CAG,0.00053,2.2883125598620757
2023-05-08,MSTR,-0.02,2.242546308664834
2023-05-10,AXON,-0.02,2.1976953824915375
2023-05-15,MKC,0.033921,2.272243407561033
2023-05-15,PEG,-0.02,2.2267985394098124
2023-05-18,KO,-0.02,2.182262568621616
2023-05-18,PG,-0.02,2.138617317249184
2023-05-18,SNPS,0.04389,2.2324812313032503
2023-05-22,SJM,-0.047514,2.1264071180791073
2023-05-22,NVR,-0.02,2.0838789757175253
2023-05-23,LIN,-0.02,2.0422013962031746
2023-05-24,GE,-0.02,2.0013573682791113
2023-05-24,TECH,-0.02,1.961330220913529
2023-05-24,TAP,-0.02,1.9221036164952585
2023-05-24,INVH,-0.02,1.8836615441653533
2023-05-25,HD,-0.02,1.845988313282046
2023-05-25,INSM,-0.02,1.8090685470164052
2023-05-30,SHOP,-0.02,1.7728871760760772
2023-05-31,NSC,-0.02,1.7374294325545556
2023-06-05,BLDR,-0.02,1.7026808439034644
2023-06-07,CMG,-0.02,1.668627227025395
2023-06-07,SHOP,-0.02,1.635254682484887
2023-06-08,COR,0.0441,1.7073694139824707
2023-06-12,ROL,-0.02,1.6732220257028212
2023-06-13,SHOP,0.07,1.7903475675020188
2023-06-14,MCK,0.001049,1.7922256421003286
2023-06-14,INSM,-0.02,1.756381129258322
2023-06-15,DVA,-0.02,1.7212535066731556
2023-06-16,ISRG,0.07,1.8417412521402765
2023-06-21,HAS,-0.02,1.8049064270974708
2023-06-22,HAS,-0.02,1.7688082985555214
2023-06-23,APP,-0.02,1.7334321325844109
2023-06-26,CMG,-0.02,1.6987634899327226
2023-06-27,DVA,-0.02,1.6647882201340682
2023-06-28,MNST,-0.02,1.6314924557313868
2023-06-29,DDOG,-0.02,1.598862606616759
2023-06-30,MCK,0.07,1.7107829890799322
2023-07-05,MRVL,-0.02,1.6765673292983336
2023-07-06,NVDA,-0.02,1.6430359827123668
2023-07-10,HIG,0.028807,1.690366920266362
2023-07-10,PLTR,-0.02,1.6565595818610348
2023-07-11,LRCX,-0.001467,1.6541294089544447
2023-07-12,AVGO,0.048975,1.7351403967579886
2023-07-12,SATS,0.07,1.856600224531048
2023-07-13,MRVL,0.07,1.9865622402482215
2023-07-14,WFC,0.026148,2.0385068697062323
2023-07-14,SHOP,0.07,2.181202350585669
2023-07-17,AMD,-0.02,2.1375783035739553
2023-07-18,UBER,0.07,2.2872087848241325
2023-07-19,VRSK,0.009555,2.309063064763127
2023-07-20,ORCL,-0.02,2.2628818034678644
2023-07-24,CCL,-0.02,2.217624167398507
2023-07-24,EQT,-0.02,2.173271684050537
2023-07-24,CCL,-0.02,2.129806250369526
2023-07-26,PHM,0.07,2.278892687895393
2023-07-27,RCL,0.07,2.438415176048071
2023-07-28,DELL,-0.02,2.389646872527109
2023-07-31,PLTR,0.07,2.556922153604007
2023-08-01,CSCO,0.027713,2.627782137246835
2023-08-03,URI,-0.02,2.5752264945018983
2023-08-03,VMC,-0.02,2.5237219646118603
2023-08-04,TPR,-0.02,2.473247525319623
2023-08-08,TEL,-0.054257,2.3390565343383565
2023-08-08,AVGO,-0.02,2.292275403651589
2023-08-09,UAL,-0.02,2.246429895578557
2023-08-10,AMAT,-0.02,2.201501297666986
2023-08-15,BKR,-0.02,2.1574712717136464
2023-08-16,VRSK,0.01252,2.1844828120355015
2023-08-17,KKR,-0.02,2.1407931557947917
2023-08-17,LH,-0.02,2.097977292678896
2023-08-17,ODFL,-0.02,2.0560177468253182
2023-08-17,WDAY,-0.02,2.014897391888812
2023-08-23,EOG,-0.02,1.9745994440510357
2023-08-23,DECK,-0.02,1.935107455170015
2023-08-24,DLR,0.07,2.070564977031916
2023-08-24,AMZN,-0.02,2.0291536774912777
2023-08-24,MAR,-0.02,1.9885706039414521
2023-08-25,ODFL,-0.02,1.948799191862623
2023-08-30,BRO,0.024748,1.9970280742628392
2023-09-01,ODFL,0.07,2.136820039461238
2023-09-01,CHTR,-0.02,2.0940836386720134
2023-09-05,BLDR,-0.02,2.0522019658985733
2023-09-05,ERIE,-0.02,2.011157926580602
2023-09-06,BXP,-0.02,1.9709347680489897
2023-09-07,LDOS,-0.02,1.9315160726880098
2023-09-07,BKNG,-0.02,1.8928857512342496
2023-09-08,CBRE,0.020105,1.9309422192628143
2023-09-13,ZTS,-0.02,1.8923233748775579
2023-09-13,MAR,-0.02,1.8544769073800067
2023-09-20,CME,0.011048,1.8749651682527408
2023-09-20,VRT,-0.02,1.837465864887686
2023-09-21,TRGP,-0.02,1.8007165475899323
2023-09-21,INVH,-0.05265,1.7059088213593223
2023-09-21,TPL,-0.02,1.6717906449321358
2023-09-25,ERIE,0.045027,1.747066362301495
2023-09-26,PKG,0.014698,1.7727447436946027
2023-10-12,VST,-0.02,1.7372898488207105
2023-10-20,VST,-0.02,1.7025440518442962
2023-10-25,MPC,-0.02,1.6684931708074102
2023-10-27,ABBV,-0.053842,1.5786581615047977
2023-11-14,ZS,0.07,1.6891642328101335
2023-11-17,HUM,-0.02,1.6553809481539308
2023-11-20,ELV,0.023871,1.6948965467673132
2023-11-20,FER,-0.02,1.660998615831967
2023-11-22,VRSN,0.044581,1.7350475951243718
2023-11-27,JBL,0.023858,1.7764423606488489
2023-11-28,VTR,0.07,1.9007933258942684
2023-11-28,NWSA,0.07,2.0338488587068673
2023-11-28,ACGL,-0.02,1.99317188153273
2023-11-29,EG,0.023349,2.0397104517946376
2023-11-30,PKG,0.07,2.1824901834202626
2023-12-05,PGR,0.026232,2.239741265911743
2023-12-07,MCK,-0.003913,2.23097715833823
2023-12-13,APH,0.035933,2.3111428605687974
2023-12-14,WTW,-0.02,2.2649200033574215
2023-12-14,AME,0.033285,2.3403078656691734
2023-12-14,NFLX,-0.02,2.29350170835579
2023-12-15,UNH,-0.05209,2.174033204367537
2023-12-15,LMT,-0.02,2.1305525402801866
2023-12-15,AZO,-0.02,2.087941489474583
2023-12-18,CCEP,0.050806,2.194021444788828
2023-12-18,SMCI,0.07,2.3476029459240464
2024-01-02,MSFT,-0.02,2.3006508870055655
2024-01-02,PDD,-0.02,2.254637869265454
2024-01-03,TRI,0.017538,2.2941797082166318
2024-01-04,CCI,8.8e-05,2.294381596030955
2024-01-04,CCI,-0.02,2.248493964110336
2024-01-09,CAH,-0.02,2.2035240848281292
2024-01-09,DXCM,0.07,2.3577707707660984
2024-01-11,PKG,0.008787,2.3784885025288203
2024-01-16,WTW,0.01903,2.423751138731944
2024-01-16,GEN,-0.02,2.375276115957305
2024-01-17,EXPE,-0.02,2.3277705936381587
2024-01-17,DASH,-0.02,2.2812151817653956
